"date","age_group","deaths_boost_vac_rate_7ma","deaths_full_vac_rate_7ma","deaths_not_full_vac_rate_7ma"
2021-04-25,"12-17yrs",0.00,0.00,0.01
2021-04-25,"18-39yrs",0.00,0.00,0.01
2021-04-25,"40-59yrs",0.00,0.00,0.07
2021-04-25,"60+",0.00,0.08,0.79
2021-04-25,"ALL",0.00,0.04,0.21
2021-04-26,"0-4yrs",0.00,0.00,0.00
2021-04-26,"5-11yrs",0.00,0.00,0.00
2021-04-26,"12-17yrs",0.00,0.00,0.01
2021-04-26,"18-39yrs",0.00,0.00,0.01
2021-04-26,"40-59yrs",0.00,0.00,0.08
2021-04-26,"60+",0.00,0.16,0.78
2021-04-26,"ALL",0.00,0.08,0.21
2021-04-27,"0-4yrs",0.00,0.00,0.00
2021-04-27,"5-11yrs",0.00,0.00,0.00
2021-04-27,"12-17yrs",0.00,0.00,0.01
2021-04-27,"18-39yrs",0.00,0.00,0.01
2021-04-27,"40-59yrs",0.00,0.00,0.08
2021-04-27,"60+",0.00,0.16,0.82
2021-04-27,"ALL",0.00,0.08,0.22
2021-04-28,"0-4yrs",0.00,0.00,0.00
2021-04-28,"5-11yrs",0.00,0.00,0.00
2021-04-28,"12-17yrs",0.00,0.00,0.01
2021-04-28,"18-39yrs",0.00,0.00,0.02
2021-04-28,"40-59yrs",0.00,0.00,0.09
2021-04-28,"60+",0.00,0.08,0.84
2021-04-28,"ALL",0.00,0.04,0.23
2021-04-29,"0-4yrs",0.00,0.00,0.00
2021-04-29,"5-11yrs",0.00,0.00,0.00
2021-04-29,"12-17yrs",0.00,0.00,0.01
2021-04-29,"18-39yrs",0.00,0.00,0.02
2021-04-29,"40-59yrs",0.00,0.00,0.09
2021-04-29,"60+",0.00,0.08,0.87
2021-04-29,"ALL",0.00,0.04,0.23
2021-04-30,"0-4yrs",0.00,0.00,0.00
2021-04-30,"5-11yrs",0.00,0.00,0.00
2021-04-30,"12-17yrs",0.00,0.00,0.00
2021-04-30,"18-39yrs",0.00,0.00,0.01
2021-04-30,"40-59yrs",0.00,0.00,0.08
2021-04-30,"60+",0.00,0.08,0.80
2021-04-30,"ALL",0.00,0.04,0.21
2021-05-01,"0-4yrs",0.00,0.00,0.00
2021-05-01,"5-11yrs",0.00,0.00,0.00
2021-05-01,"12-17yrs",0.00,0.00,0.00
2021-05-01,"18-39yrs",0.00,0.00,0.02
2021-05-01,"40-59yrs",0.00,0.00,0.09
2021-05-01,"60+",0.00,0.22,0.76
2021-05-01,"ALL",0.00,0.11,0.21
2021-05-02,"0-4yrs",0.00,0.00,0.00
2021-05-02,"5-11yrs",0.00,0.00,0.00
2021-05-02,"12-17yrs",0.00,0.00,0.00
2021-05-02,"18-39yrs",0.00,0.00,0.02
2021-05-02,"40-59yrs",0.00,0.00,0.11
2021-05-02,"60+",0.00,0.30,0.73
2021-05-02,"ALL",0.00,0.14,0.20
2021-05-03,"0-4yrs",0.00,0.00,0.00
2021-05-03,"5-11yrs",0.00,0.00,0.00
2021-05-03,"12-17yrs",0.00,0.00,0.00
2021-05-03,"18-39yrs",0.00,0.00,0.02
2021-05-03,"40-59yrs",0.00,0.00,0.11
2021-05-03,"60+",0.00,0.22,0.68
2021-05-03,"ALL",0.00,0.11,0.19
2021-05-04,"0-4yrs",0.00,0.00,0.00
2021-05-04,"5-11yrs",0.00,0.00,0.00
2021-05-04,"12-17yrs",0.00,0.00,0.00
2021-05-04,"18-39yrs",0.00,0.00,0.02
2021-05-04,"40-59yrs",0.00,0.00,0.11
2021-05-04,"60+",0.00,0.22,0.65
2021-05-04,"ALL",0.00,0.11,0.19
2021-05-05,"0-4yrs",0.00,0.00,0.00
2021-05-05,"5-11yrs",0.00,0.00,0.00
2021-05-05,"12-17yrs",0.00,0.00,0.00
2021-05-05,"18-39yrs",0.00,0.00,0.02
2021-05-05,"40-59yrs",0.00,0.00,0.13
2021-05-05,"60+",0.00,0.36,0.60
2021-05-05,"ALL",0.00,0.18,0.18
2021-05-06,"0-4yrs",0.00,0.00,0.00
2021-05-06,"5-11yrs",0.00,0.00,0.00
2021-05-06,"12-17yrs",0.00,0.00,0.00
2021-05-06,"18-39yrs",0.00,0.00,0.02
2021-05-06,"40-59yrs",0.00,0.00,0.13
2021-05-06,"60+",0.00,0.36,0.58
2021-05-06,"ALL",0.00,0.18,0.18
2021-05-07,"0-4yrs",0.00,0.00,0.00
2021-05-07,"5-11yrs",0.00,0.00,0.00
2021-05-07,"12-17yrs",0.00,0.00,0.00
2021-05-07,"18-39yrs",0.00,0.00,0.02
2021-05-07,"40-59yrs",0.00,0.00,0.15
2021-05-07,"60+",0.00,0.36,0.62
2021-05-07,"ALL",0.00,0.18,0.19
2021-05-08,"0-4yrs",0.00,0.00,0.00
2021-05-08,"5-11yrs",0.00,0.00,0.00
2021-05-08,"12-17yrs",0.00,0.00,0.00
2021-05-08,"18-39yrs",0.00,0.00,0.02
2021-05-08,"40-59yrs",0.00,0.00,0.16
2021-05-08,"60+",0.00,0.22,0.67
2021-05-08,"ALL",0.00,0.11,0.20
2021-05-09,"0-4yrs",0.00,0.00,0.00
2021-05-09,"5-11yrs",0.00,0.00,0.00
2021-05-09,"12-17yrs",0.00,0.00,0.00
2021-05-09,"18-39yrs",0.00,0.00,0.02
2021-05-09,"40-59yrs",0.00,0.00,0.15
2021-05-09,"60+",0.00,0.14,0.68
2021-05-09,"ALL",0.00,0.07,0.20
2021-05-10,"0-4yrs",0.00,0.00,0.00
2021-05-10,"5-11yrs",0.00,0.00,0.00
2021-05-10,"12-17yrs",0.00,0.00,0.00
2021-05-10,"18-39yrs",0.00,0.00,0.02
2021-05-10,"40-59yrs",0.00,0.00,0.15
2021-05-10,"60+",0.00,0.14,0.68
2021-05-10,"ALL",0.00,0.07,0.20
2021-05-11,"0-4yrs",0.00,0.00,0.00
2021-05-11,"5-11yrs",0.00,0.00,0.00
2021-05-11,"12-17yrs",0.00,0.00,0.00
2021-05-11,"18-39yrs",0.00,0.00,0.02
2021-05-11,"40-59yrs",0.00,0.00,0.15
2021-05-11,"60+",0.00,0.14,0.63
2021-05-11,"ALL",0.00,0.07,0.19
2021-05-12,"0-4yrs",0.00,0.00,0.00
2021-05-12,"5-11yrs",0.00,0.00,0.00
2021-05-12,"12-17yrs",0.00,0.00,0.00
2021-05-12,"18-39yrs",0.00,0.00,0.01
2021-05-12,"40-59yrs",0.00,0.00,0.14
2021-05-12,"60+",0.00,0.00,0.66
2021-05-12,"ALL",0.00,0.00,0.19
2021-05-13,"0-4yrs",0.00,0.00,0.00
2021-05-13,"5-11yrs",0.00,0.00,0.00
2021-05-13,"12-17yrs",0.00,0.00,0.00
2021-05-13,"18-39yrs",0.00,0.00,0.02
2021-05-13,"40-59yrs",0.00,0.00,0.15
2021-05-13,"60+",0.00,0.20,0.65
2021-05-13,"ALL",0.00,0.10,0.20
2021-05-14,"0-4yrs",0.00,0.00,0.00
2021-05-14,"5-11yrs",0.00,0.00,0.00
2021-05-14,"12-17yrs",0.00,0.00,0.00
2021-05-14,"18-39yrs",0.00,0.00,0.02
2021-05-14,"40-59yrs",0.00,0.00,0.13
2021-05-14,"60+",0.00,0.20,0.63
2021-05-14,"ALL",0.00,0.10,0.19
2021-05-15,"0-4yrs",0.00,0.00,0.00
2021-05-15,"5-11yrs",0.00,0.00,0.00
2021-05-15,"12-17yrs",0.00,0.00,0.00
2021-05-15,"18-39yrs",0.00,0.00,0.02
